Municipio,Lema,Departamento,CantidadVotos_2024,CantidadVotos_2019,TotalVotos_2024,TotalVotos_2019,DifVotos,Habilitados,Share_2024,Share_2019,VariacionShare
Suárez,Partido Colorado,Canelones,1599,687,10636,9538,912,6329.0,0.1503384731101918,0.07202767875864961,0.07831079435154219
Suárez,Partido Frente Amplio,Canelones,5949,4443,10636,9538,1506,6329.0,0.5593268145919519,0.46582092681903964,0.09350588777291224
Suárez,Partido Independiente,Canelones,86,93,10636,9538,-7,6329.0,0.008085746521248589,0.009750471797022436,-0.001664725275773847
Suárez,Partido Nacional,Canelones,2311,2711,10636,9538,-400,6329.0,0.2172809326814592,0.2842314950723422,-0.06695056239088298
Suárez,Partido VA/IS (G.Salle),Canelones,258,69,10636,9538,189,6329.0,0.02425723956374577,0.007234221010694066,0.017023018553051703
Tacuarembó,PERI,Tacuarembó,77,323,33822,36108,-246,13242.333333333334,0.002276624682159541,0.008945386064030132,-0.00666876138187059
Tacuarembó,Partido Asamblea Popular,Tacuarembó,111,215,33822,36108,-104,13242.333333333334,0.0032818875288273906,0.005954359144787859,-0.0026724716159604684
Tacuarembó,Partido Cabildo Abierto,Tacuarembó,1165,5825,33822,36108,-4660,13242.333333333334,0.03444503577553072,0.16132159078320593,-0.1268765550076752
Tacuarembó,Partido Colorado,Tacuarembó,8864,5466,33822,36108,3398,13242.333333333334,0.26207793743717106,0.15137919574609504,0.11069874169107602
Tacuarembó,Partido Frente Amplio,Tacuarembó,12924,11571,33822,36108,1353,13242.333333333334,0.38211814795103777,0.32045530076437356,0.061662847186664205
Tacuarembó,Partido Independiente,Tacuarembó,390,314,33822,36108,76,13242.333333333334,0.011530956182366508,0.008696133820759943,0.002834822361606565
Tacuarembó,Partido Nacional,Tacuarembó,9443,12156,33822,36108,-2713,13242.333333333334,0.27919697238483826,0.33665669657693587,-0.057459724192097605
