Año,Delito,id_barrio,Barrio,Total delitos,Ratio
2013,RAPIÑA,21,JARDINES DEL HIPODROMO,299,1537.354105609543
2013,RAPIÑA,47,LA BLANQUEADA,90,922.0366765700235
2013,RAPIÑA,49,LA COMERCIAL,90,795.4746331978081
2013,RAPIÑA,45,LA FIGURITA,96,943.5816787890702
2013,RAPIÑA,37,"LA PALOMA, TOMKINSON",415,1067.0849296752463
2013,RAPIÑA,38,LA TEJA,267,1432.019308125503
2013,RAPIÑA,46,LARRAÑAGA,171,907.209931561356
2013,RAPIÑA,28,LAS ACACIAS,278,1411.5257679614115
2013,RAPIÑA,19,LAS CANTERAS,228,1043.8604523395293
2013,RAPIÑA,60,"LEZICA, MELILLA",139,806.2645011600929
2013,RAPIÑA,11,MALVIN,238,803.5111411208643
2013,RAPIÑA,12,MALVIN NORTE,221,1273.1881553174328
2013,RAPIÑA,62,MANGA,249,1278.4966112138015
2013,RAPIÑA,32,"MANGA, TOLEDO CHICO",233,855.4225714075924
2013,RAPIÑA,17,"MAROÑAS, PARQUE GUARANI",225,1082.9803619561033
2013,RAPIÑA,25,"MERCADO MODELO, BOLIVAR",170,1085.7763300760043
2013,RAPIÑA,55,NUEVO PARIS,274,914.9802978694985
2013,RAPIÑA,5,PALERMO,58,451.60787977886787
2013,RAPIÑA,6,PARQUE RODO,125,958.2950015332719
2013,RAPIÑA,57,PASO DE LA ARENA,266,1001.5060240963855
2013,RAPIÑA,33,PASO DE LAS DURANAS,174,1427.1653543307086
2013,RAPIÑA,34,"PEÑAROL, LAVALLEJA",342,1057.775578374366
2013,RAPIÑA,31,PIEDRAS BLANCAS,315,1495.1585342699827
2013,RAPIÑA,8,POCITOS,318,451.8521676115776
2013,RAPIÑA,10,"PQUE. BATLLE, V. DOLORES",249,829.5575692963752
2013,RAPIÑA,39,"PRADO, NUEVA SAVONA",319,1637.8292344816962
2013,RAPIÑA,20,"PTA. RIELES, BELLA ITALIA",599,2492.7174365376613
2013,RAPIÑA,7,PUNTA CARRETAS,202,804.5564981877563
2013,RAPIÑA,13,PUNTA GORDA,122,881.1209013433482
2013,RAPIÑA,42,REDUCTO,82,609.3482945678828
2013,RAPIÑA,52,SAYAGO,185,1320.5796273823971
2013,RAPIÑA,999,SIN CLASIFICAR,1,
2013,RAPIÑA,50,TRES CRUCES,173,1019.2058442323553
2013,RAPIÑA,56,"TRES OMBUES, VICTORIA",348,1930.6518723994452
2013,RAPIÑA,23,UNION,664,1739.2670979909367
2013,RAPIÑA,24,VILLA ESPAÑOLA,177,835.9308586001699
2013,RAPIÑA,61,"VILLA GARCIA, MANGA RURAL",257,809.7293550521441
2013,RAPIÑA,48,"VILLA MUÑOZ, RETIRO",61,457.4085182963408
2013,VIOLENCIA DOMÉSTICA,41,AGUADA,110,567.3612543841551
2013,VIOLENCIA DOMÉSTICA,29,AIRES PUROS,79,529.277770333646
2013,VIOLENCIA DOMÉSTICA,43,ATAHUALPA,37,461.98027219378196
2013,VIOLENCIA DOMÉSTICA,3,BARRIO SUR,67,471.4989444053483
2013,VIOLENCIA DOMÉSTICA,16,BAÑADOS DE CARRASCO,124,874.4710860366713
2013,VIOLENCIA DOMÉSTICA,54,BELVEDERE,200,976.0858955588092
2013,VIOLENCIA DOMÉSTICA,51,BRAZO ORIENTAL,89,542.9477794045877
2013,VIOLENCIA DOMÉSTICA,9,BUCEO,190,513.6801124689089
2013,VIOLENCIA DOMÉSTICA,40,"CAPURRO, BELLA VISTA",91,547.006491945179
2013,VIOLENCIA DOMÉSTICA,14,CARRASCO,41,272.1720658523633
2013,VIOLENCIA DOMÉSTICA,15,CARRASCO NORTE,74,558.1114714533525
2013,VIOLENCIA DOMÉSTICA,36,"CASABO, PAJAS BLANCAS",401,1343.2485847318528
2013,VIOLENCIA DOMÉSTICA,30,CASAVALLE,378,1243.421052631579
2013,VIOLENCIA DOMÉSTICA,26,"CASTRO, P. CASTELLANOS",67,496.73784104389085
2013,VIOLENCIA DOMÉSTICA,2,CENTRO,133,559.6700892105706
2013,VIOLENCIA DOMÉSTICA,27,CERRITO,128,799.6501530580371
2013,VIOLENCIA DOMÉSTICA,35,CERRO,486,1785.3862826494249
2013,VIOLENCIA DOMÉSTICA,1,CIUDAD VIEJA,137,989.3125361062969
2013,VIOLENCIA DOMÉSTICA,59,COLON CENTRO Y NOROESTE,273,998.2083439979524
2013,VIOLENCIA DOMÉSTICA,58,"COLON SURESTE, ABAYUBA",108,738.8151593925297
2013,VIOLENCIA DOMÉSTICA,53,CONCILIACION,187,941.1646283154664
2013,VIOLENCIA DOMÉSTICA,4,CORDON,127,282.3226035923884
2013,VIOLENCIA DOMÉSTICA,18,FLOR DE MAROÑAS,196,1140.6622824885062
2013,VIOLENCIA DOMÉSTICA,22,ITUZAINGO,150,1176.0094080752647
2013,VIOLENCIA DOMÉSTICA,44,JACINTO VERA,44,526.6307600239378
2013,VIOLENCIA DOMÉSTICA,21,JARDINES DEL HIPODROMO,283,1455.0876651755873
2013,VIOLENCIA DOMÉSTICA,47,LA BLANQUEADA,35,358.5698186661203
2013,VIOLENCIA DOMÉSTICA,49,LA COMERCIAL,50,441.93035177656
2013,VIOLENCIA DOMÉSTICA,45,LA FIGURITA,76,747.0021623746806
2013,VIOLENCIA DOMÉSTICA,37,"LA PALOMA, TOMKINSON",480,1234.2187138412485
2013,VIOLENCIA DOMÉSTICA,38,LA TEJA,195,1045.8567980691876
2013,VIOLENCIA DOMÉSTICA,46,LARRAÑAGA,50,265.2660618600456
2013,VIOLENCIA DOMÉSTICA,28,LAS ACACIAS,184,934.2472708809343
2013,VIOLENCIA DOMÉSTICA,19,LAS CANTERAS,151,691.3286329090743
2013,VIOLENCIA DOMÉSTICA,60,"LEZICA, MELILLA",172,997.6798143851507
2013,VIOLENCIA DOMÉSTICA,11,MALVIN,86,290.34436191762325
2013,VIOLENCIA DOMÉSTICA,12,MALVIN NORTE,152,875.6769213042977
2013,VIOLENCIA DOMÉSTICA,62,MANGA,207,1062.8465804066543
2013,VIOLENCIA DOMÉSTICA,32,"MANGA, TOLEDO CHICO",324,1189.5146486526178
2013,VIOLENCIA DOMÉSTICA,17,"MAROÑAS, PARQUE GUARANI",220,1058.914131690412
2013,VIOLENCIA DOMÉSTICA,25,"MERCADO MODELO, BOLIVAR",88,562.0489238040493
2013,VIOLENCIA DOMÉSTICA,55,NUEVO PARIS,324,1081.9475055099178
2013,VIOLENCIA DOMÉSTICA,5,PALERMO,63,490.53959355290823
2013,VIOLENCIA DOMÉSTICA,6,PARQUE RODO,37,283.6553204538485
2013,VIOLENCIA DOMÉSTICA,57,PASO DE LA ARENA,188,707.8313253012049
2013,VIOLENCIA DOMÉSTICA,33,PASO DE LAS DURANAS,53,434.7112860892389
2013,VIOLENCIA DOMÉSTICA,34,"PEÑAROL, LAVALLEJA",278,859.8292713101571
2013,VIOLENCIA DOMÉSTICA,31,PIEDRAS BLANCAS,170,806.9109550028479
2013,VIOLENCIA DOMÉSTICA,8,POCITOS,129,183.29852082356453
2013,VIOLENCIA DOMÉSTICA,10,"PQUE. BATLLE, V. DOLORES",133,443.0970149253731
2013,VIOLENCIA DOMÉSTICA,39,"PRADO, NUEVA SAVONA",103,528.8288750834317
2013,VIOLENCIA DOMÉSTICA,20,"PTA. RIELES, BELLA ITALIA",387,1610.4868913857679
2013,VIOLENCIA DOMÉSTICA,7,PUNTA CARRETAS,37,147.3692595690445
2013,VIOLENCIA DOMÉSTICA,13,PUNTA GORDA,33,238.3359815109057
2013,VIOLENCIA DOMÉSTICA,42,REDUCTO,99,735.6765995392732
2013,VIOLENCIA DOMÉSTICA,52,SAYAGO,61,435.43436362338497
